Number of Processes, Number of Rounds, Total RMR, RMR per Critical Section
100,894,51168,511.68
100,1300,77633,776.33
100,1081,60901,609.01
100,1242,72591,725.91
100,1270,73536,735.36
100,994,58376,583.76
100,1033,56549,565.49
100,1343,75418,754.18
100,820,41533,415.33
100,1087,60361,603.61
125,1358,99443,795.544
125,1122,77139,617.112
125,1277,89190,713.52
125,1113,82700,661.6
125,1477,108093,864.744
125,1143,80486,643.888
125,1414,97121,776.968
125,1488,102797,822.376
125,1239,87671,701.368
125,1325,96121,768.968
150,2058,175703,1171.3533333333332
150,1981,181479,1209.86
150,1982,158471,1056.4733333333334
150,1858,151867,1012.4466666666667
150,2085,176586,1177.24
150,1961,164904,1099.36
150,1943,161945,1079.6333333333334
150,2053,170717,1138.1133333333332
150,1934,163781,1091.8733333333332
150,2129,178199,1187.9933333333333
175,2177,211312,1207.4971428571428
175,2095,218068,1246.1028571428571
175,2168,216797,1238.84
175,2149,216666,1238.0914285714287
175,1778,157906,902.32
175,2494,243585,1391.9142857142858
175,2084,207754,1187.1657142857143
175,2111,198158,1132.3314285714287
175,2380,236012,1348.64
175,2182,217772,1244.4114285714286
200,2562,300667,1503.335
200,2527,279789,1398.945
200,2513,275193,1375.965
200,2121,214042,1070.21
200,2435,276055,1380.275
200,2052,236816,1184.08
200,2449,262891,1314.455
200,2383,255058,1275.29
200,2479,282784,1413.92
200,2505,299326,1496.63
225,2559,313106,1391.5822222222223
225,2503,318642,1416.1866666666667
225,2328,299204,1329.7955555555557
225,2707,330855,1470.4666666666667
225,2129,270546,1202.4266666666667
225,2073,268829,1194.7955555555557
225,2573,314958,1399.8133333333333
225,2274,315028,1400.1244444444444
225,2505,325166,1445.1822222222222
225,2422,311386,1383.9377777777777
250,2266,339573,1358.292
250,3054,411804,1647.216
250,2476,332900,1331.6
250,2892,394112,1576.448
250,2904,420792,1683.168
250,3021,424951,1699.804
250,2833,403830,1615.32
250,2855,393117,1572.468
250,2856,395015,1580.06
250,2783,396967,1587.868
