Number of Processes, Number of Rounds, Total RMR, RMR per Critical Section
100,867,47270,472.7
100,877,46231,462.31
100,830,50172,501.72
100,926,56139,561.39
100,1093,63466,634.66
100,1095,58519,585.19
100,1031,56292,562.92
100,935,50900,509.0
100,1096,60239,602.39
100,1094,61341,613.41
125,969,66490,531.92
125,997,78707,629.656
125,1142,73518,588.144
125,1184,87077,696.616
125,1108,81962,655.696
125,1165,88253,706.024
125,1110,71557,572.456
125,998,73283,586.264
125,1010,70954,567.632
125,1112,82513,660.104
150,1779,151823,1012.1533333333333
150,1763,150903,1006.02
150,1689,147679,984.5266666666666
150,1910,164081,1093.8733333333332
150,1622,150462,1003.08
150,1702,142654,951.0266666666666
150,1818,155730,1038.2
150,1655,157532,1050.2133333333334
150,1711,150097,1000.6466666666666
150,1637,140979,939.86
175,1710,173478,991.3028571428572
175,1720,172360,984.9142857142857
175,1868,183301,1047.4342857142858
175,1800,172548,985.9885714285714
175,1688,163626,935.0057142857142
175,1799,179685,1026.7714285714285
175,2216,224153,1280.8742857142856
175,1940,206682,1181.04
175,2108,187288,1070.2171428571428
175,1728,170232,972.7542857142857
200,2029,235275,1176.375
200,1915,204695,1023.475
200,1813,209648,1048.24
200,1828,212713,1063.565
200,1992,224184,1120.92
200,1895,221465,1107.325
200,2071,250528,1252.64
200,1739,199485,997.425
200,1867,208362,1041.81
200,1761,182610,913.05
225,2468,320563,1424.7244444444445
225,2176,288484,1282.151111111111
225,2246,283283,1259.0355555555554
225,2181,270333,1201.48
225,1734,203219,903.1955555555555
225,2192,271468,1206.5244444444445
225,2205,278757,1238.92
225,2516,325508,1446.7022222222222
225,2322,310427,1379.6755555555555
225,2051,247092,1098.1866666666667
250,2061,266891,1067.564
250,2242,324324,1297.296
250,2272,338426,1353.704
250,1866,292883,1171.532
250,2096,306858,1227.432
250,2084,291209,1164.836
250,1822,286437,1145.748
250,2111,274322,1097.288
250,2106,296291,1185.164
250,2430,346394,1385.576
275,3249,470155,1709.6545454545455
275,3093,480520,1747.3454545454545
275,2965,493411,1794.2218181818182
275,2668,432073,1571.1745454545455
275,3213,485073,1763.9018181818183
275,2778,400111,1454.949090909091
275,3702,539067,1960.2436363636364
275,3625,536416,1950.6036363636363
275,3279,490021,1781.8945454545456
275,2777,446663,1624.229090909091
300,3228,537336,1791.12
300,3203,538361,1794.5366666666666
300,3537,593064,1976.88
300,3323,552916,1843.0533333333333
300,3008,517812,1726.04
300,2967,488421,1628.07
300,3018,496647,1655.49
300,3356,577554,1925.18
300,3716,632272,2107.5733333333333
300,3425,588745,1962.4833333333333
325,3489,659057,2027.8676923076923
325,3622,621826,1913.3107692307692
325,3115,565451,1739.8492307692309
325,3654,697566,2146.356923076923
325,3533,661205,2034.4769230769232
325,3839,700362,2154.96
325,3811,685550,2109.3846153846152
325,3529,657902,2024.313846153846
325,3596,630044,1938.596923076923
325,3698,700448,2155.2246153846154
350,3378,618384,1766.8114285714287
350,3585,667584,1907.3828571428571
350,3565,696018,1988.6228571428571
350,3629,678016,1937.1885714285713
350,3916,773452,2209.862857142857
350,3710,710795,2030.8428571428572
350,4218,830986,2374.2457142857143
350,3722,712010,2034.3142857142857
350,3372,658637,1881.82
350,3262,617806,1765.16
375,3339,694396,1851.7226666666666
375,3789,829468,2211.9146666666666
375,3560,745292,1987.4453333333333
375,4176,870446,2321.1893333333333
375,4144,857855,2287.6133333333332
375,4045,839161,2237.7626666666665
375,3220,685903,1829.0746666666666
375,3730,818141,2181.7093333333332
375,3475,735795,1962.12
375,3583,786373,2096.9946666666665
400,3415,846187,2115.4675
400,3878,880708,2201.77
400,3589,840150,2100.375
400,4528,1007570,2518.925
400,3804,826387,2065.9675
400,3569,815172,2037.93
400,3412,782314,1955.785
400,3886,851924,2129.81
400,3602,807153,2017.8825
400,3664,808438,2021.095
425,3574,865623,2036.76
425,3906,965778,2272.418823529412
